metric_id,asset_type_id,output_type,metric_name,metric_description,unit,target_default,period,formula
43,70,LICENSE,compliance_score,امتیاز انطباق,percent,95,annual,compliance_score
44,70,LICENSE,renewal_timeliness,به‌موقع بودن تمدید,percent,100,annual,on_time_renewals / total_renewals * 100
45,85,CULTURE,knowledge_retention,حفظ دانش,percent,85,annual,retained_knowledge / total_knowledge * 100
46,85,CULTURE,employee_engagement,تعامل کارکنان,percent,75,quarterly,engagement_survey_score
47,85,CULTURE,successor_readiness,آمادگی جانشین,percent,70,annual,ready_successors / total_positions * 100
48,35,SUPPLY_CONTRACT,supplier_reliability,قابلیت اطمینان تأمین‌کننده,percent,95,quarterly,on_time_deliveries / total_deliveries * 100
49,35,SUPPLY_CONTRACT,cost_savings,صرفه‌جویی هزینه,percent,10,annual,(old_cost - new_cost) / old_cost * 100
50,39,INTER_COMPANY,joint_revenue,درآمد مشترک,IRR,3000000000,annual,sum(joint_revenue)
51,39,INTER_COMPANY,collaboration_index,شاخص همکاری,percent,80,annual,collaboration_score
52,66,CRM_DB,data_completeness,کامل بودن داده,percent,90,quarterly,complete_records / total_records * 100
53,66,CRM_DB,active_users,کاربران فعال,count,1000,monthly,count(active_users)
54,100,EXPERT_KNOWLEDGE,expert_retention,حفظ کارشناسان کلیدی,percent,90,annual,retained_experts / total_experts * 100
55,100,EXPERT_KNOWLEDGE,knowledge_transfer_rate,نرخ انتقال دانش,percent,80,annual,transferred_knowledge / total_knowledge * 100
56,96,BRAND_AMBASSADOR,ambassador_count,تعداد سفیران,count,50,annual,count(active_ambassadors)
57,96,BRAND_AMBASSADOR,referral_conversion,نرخ تبدیل معرفی,percent,25,quarterly,converted_referrals / total_referrals * 100
